Time,MPXV E8_CS-E,MPXV E8_Nilotinib,MPXV E8_Irinotecan,MPXV E8_Diosmin,MPXV E8_Conivaptan,MPXV E8_Olmutinib,MPXV E8_Glisolamide,MPXV E8_FAD,MPXV E8_ZINC003821234,MPXV E8_Novobiocin,MPXV E8_Voacamine,MPXV E8_Cabozatinib,,,,,,,,,,,,,
0.82,0.1086929,0.1242359,0.0937261,0.0999802,0.094484,0.1079726,0.101858,0.103825,0.1123571,0.0942419,0.1042337,0.0970342,,,,,,,,,,,,,
0.83,0.1208544,0.1172648,0.1038509,0.1028182,0.0939163,0.1070605,0.1043306,0.1140253,0.1066861,0.1052498,0.0923743,0.1022709,,,,,,,,,,,,,
0.84,0.1019377,0.1129627,0.104593,0.0974714,0.0838704,0.1051205,0.0993628,0.108415,0.1070622,0.1064627,0.1014647,0.1114713,,,,,,,,,,,,,
0.85,0.1117158,0.1105645,0.1064571,0.1055839,0.0932251,0.1085642,0.1140966,0.1002635,0.1100908,0.1037106,0.1068254,0.1238061,,,,,,,,,,,,,
0.86,0.1132408,0.1142895,0.1043681,0.0880271,0.0847324,0.1032097,0.0993041,0.0973734,0.107065,0.0953676,0.0932472,0.1151013,,,,,,,,,,,,,
0.87,0.1158963,0.1157015,0.1216839,0.0938965,0.0848017,0.1162658,0.0917527,0.1140924,0.0997111,0.1034826,0.0948711,0.118089,,,,,,,,,,,,,
0.88,0.1154296,0.1192351,0.0910804,0.0927996,0.0867115,0.1016801,0.0904421,0.1148759,0.1175257,0.11339,0.0990715,0.1104849,,,,,,,,,,,,,
0.89,0.1074523,0.1111733,0.1050944,0.101154,0.0827289,0.101576,0.0962955,0.12193,0.1150532,0.1002772,0.1014957,0.1102585,,,,,,,,,,,,,
0.9,0.1139199,0.1074246,0.1181288,0.1035958,0.093273,0.1069843,0.1002859,0.1260842,0.1094284,0.107624,0.1067623,0.116176,,,,,,,,,,,,,
0.91,0.1231928,0.1026137,0.1086006,0.1188368,0.0924067,0.0999739,0.0962003,0.1243195,0.1072909,0.1011079,0.0925032,0.1124631,,,,,,,,,,,,,
0.92,0.1061951,0.1042125,0.097132,0.1222325,0.0919242,0.1041619,0.0959072,0.1177739,0.1091966,0.1099583,0.1077056,0.0997366,,,,,,,,,,,,,
0.93,0.1094693,0.1063641,0.0935918,0.1152259,0.1009689,0.1095794,0.0934268,0.1160938,0.1078498,0.1017067,0.1002227,0.1145039,,,,,,,,,,,,,
0.94,0.105353,0.1168226,0.1031567,0.1082906,0.1069704,0.1198056,0.0989655,0.118658,0.1115416,0.0980959,0.1054442,0.106172,,,,,,,,,,,,,
0.95,0.107448,0.1039801,0.0912675,0.1100382,0.097618,0.117536,0.0970192,0.113894,0.1073047,0.098783,0.0944385,0.1084499,,,,,,,,,,,,,
0.96,0.1100929,0.1145092,0.1032795,0.1168962,0.0990762,0.1163114,0.0929445,0.1038415,0.107906,0.1006858,0.0996531,0.116017,,,,,,,,,,,,,
0.97,0.107468,0.1167316,0.1010192,0.1264978,0.1052406,0.1269374,0.0925766,0.0919871,0.1010408,0.0950512,0.1054397,0.1047938,,,,,,,,,,,,,
0.98,0.109122,0.108127,0.0992531,0.1227892,0.1025686,0.1130732,0.0922503,0.0959654,0.1099389,0.0998561,0.1102077,0.1111329,,,,,,,,,,,,,
0.99,0.1203455,0.1101242,0.0910275,0.1197824,0.1019285,0.1085769,0.0890585,0.1122924,0.1093674,0.0990215,0.1054376,0.1083521,,,,,,,,,,,,,
1,0.1084757,0.119066,0.095095,0.1268114,0.0921815,0.1101095,0.0948973,0.0990993,0.1124479,0.0919647,0.0943736,0.1019001,,,,,,,,,,,,,
1.01,0.1107382,0.1205711,0.092898,0.1096091,0.0963944,0.1209116,0.0871124,0.1118558,0.1038389,0.0965177,0.1036771,0.107049,,,,,,,,,,,,,
1.02,0.1020041,0.1163431,0.1018657,0.1211799,0.1063666,0.139348,0.0919404,0.0996709,0.112407,0.1006245,0.1018225,0.1069197,,,,,,,,,,,,,
1.03,0.0904717,0.107144,0.1050607,0.1221648,0.105085,0.1257167,0.0994417,0.0998867,0.117308,0.093131,0.1091489,0.1022399,,,,,,,,,,,,,
1.04,0.0944747,0.1105109,0.1030024,0.1204861,0.1107083,0.1364454,0.09255,0.0874979,0.0948828,0.1007159,0.0995625,0.1009573,,,,,,,,,,,,,
1.05,0.1117903,0.1124873,0.0975921,0.1133584,0.1059942,0.130289,0.0866549,0.1045958,0.1051721,0.1066791,0.1046605,0.1015705,,,,,,,,,,,,,
1.06,0.1110103,0.1190915,0.0944895,0.1234924,0.1020816,0.1261192,0.0886015,0.1105879,0.1003706,0.0952858,0.0921187,0.0973637,,,,,,,,,,,,,
1.07,0.1218859,0.1018412,0.1015311,0.1017536,0.0885214,0.1262919,0.0888232,0.1086288,0.1079609,0.1051399,0.0952694,0.1051021,,,,,,,,,,,,,
1.08,0.1211821,0.1095712,0.107247,0.1132558,0.1078843,0.1270972,0.0854336,0.0978632,0.1060499,0.0903005,0.0991911,0.1069824,,,,,,,,,,,,,
1.09,0.1273572,0.1159003,0.0941197,0.1087255,0.0927941,0.1230798,0.1002013,0.0931303,0.0990399,0.1022672,0.0943912,0.0969224,,,,,,,,,,,,,
1.1,0.1273878,0.1009692,0.0863005,0.1212542,0.0994099,0.1244864,0.0954394,0.0972337,0.1041024,0.0946607,0.0990725,0.0997138,,,,,,,,,,,,,
1.11,0.1307814,0.105365,0.0857455,0.1247575,0.0949953,0.126109,0.0933621,0.1055451,0.0990269,0.0952215,0.1007429,0.0973413,,,,,,,,,,,,,
1.12,0.1285206,0.0993844,0.0832184,0.1182873,0.0960568,0.1237404,0.0936773,0.1045699,0.1000738,0.1078003,0.1095972,0.0944959,,,,,,,,,,,,,
1.13,0.1312612,0.0994154,0.07781,0.1152231,0.0904701,0.1136768,0.0970634,0.0941648,0.1013227,0.097477,0.1025549,0.1026239,,,,,,,,,,,,,
1.14,0.1244945,0.1010233,0.0947198,0.118424,0.1029231,0.1199625,0.0968614,0.1012825,0.1052221,0.0938651,0.1147176,0.1062418,,,,,,,,,,,,,
1.15,0.132944,0.102971,0.0763072,0.1127759,0.1069126,0.1131663,0.1016092,0.0951131,0.1094346,0.1040345,0.099407,0.1003605,,,,,,,,,,,,,
1.16,0.1284427,0.1002028,0.0928891,0.1222021,0.1030611,0.1188814,0.1014845,0.1102858,0.1053734,0.1016951,0.1055855,0.1051146,,,,,,,,,,,,,
1.17,0.1161041,0.1044436,0.0915627,0.1222619,0.1014958,0.1131926,0.0950219,0.1013,0.1081489,0.089819,0.1034975,0.1007247,,,,,,,,,,,,,
1.18,0.1039256,0.1147164,0.0901665,0.1062848,0.0970785,0.1209584,0.1029248,0.1028776,0.1038057,0.1042396,0.1029059,0.0982998,,,,,,,,,,,,,
1.19,0.1122277,0.1051253,0.0928816,0.1021842,0.0983243,0.1147106,0.095084,0.0864526,0.1087784,0.0971598,0.1000805,0.0971756,,,,,,,,,,,,,
1.2,0.1084298,0.1123409,0.0815015,0.1117579,0.099839,0.1182893,0.1053972,0.0931288,0.1044826,0.1026416,0.0990781,0.0982603,,,,,,,,,,,,,
1.21,0.1083758,0.1135829,0.0845324,0.1132313,0.1073168,0.124633,0.1137196,0.0842695,0.1077797,0.0873452,0.1095125,0.0969575,,,,,,,,,,,,,
1.22,0.0960657,0.1055607,0.0833024,0.1002145,0.103868,0.1314681,0.1091045,0.0994662,0.1058815,0.1019063,0.1075977,0.0915254,,,,,,,,,,,,,
1.23,0.0969489,0.1185913,0.090778,0.1133648,0.0890671,0.1639726,0.1077651,0.0902903,0.1064904,0.0945169,0.1107493,0.0936524,,,,,,,,,,,,,
1.24,0.0999221,0.1139009,0.0879025,0.1011645,0.1050751,0.1286158,0.098655,0.0913269,0.1082109,0.0964488,0.1048496,0.0924001,,,,,,,,,,,,,
1.25,0.0972647,0.1185637,0.0919877,0.1021611,0.0986675,0.1296535,0.0920979,0.0946328,0.1064388,0.0976829,0.0980173,0.110247,,,,,,,,,,,,,
1.26,0.1041314,0.117161,0.0967873,0.112367,0.0986672,0.1339056,0.0937357,0.0953144,0.1128691,0.1007563,0.1065622,0.0881557,,,,,,,,,,,,,
1.27,0.1008768,0.127912,0.1026827,0.1120311,0.1053546,0.1203877,0.0861828,0.0939006,0.1108314,0.0935497,0.1120466,0.0950061,,,,,,,,,,,,,
1.28,0.0969323,0.1135411,0.0986666,0.1222691,0.0953366,0.1083467,0.101885,0.0836923,0.1181628,0.1031631,0.1123198,0.097015,,,,,,,,,,,,,
1.29,0.108635,0.1180929,0.1043886,0.1156258,0.1117401,0.1081454,0.090608,0.0897857,0.1044572,0.1103285,0.1109143,0.0983162,,,,,,,,,,,,,
1.3,0.1145355,0.1206736,0.1052639,0.1109604,0.1142258,0.1204777,0.0926221,0.1005219,0.1100789,0.0964929,0.1273664,0.0986869,,,,,,,,,,,,,
1.31,0.1051503,0.1278517,0.1023115,0.1073616,0.104609,0.1191648,0.1007021,0.1043843,0.1068499,0.0973686,0.1296982,0.103014,,,,,,,,,,,,,
1.32,0.1063211,0.123506,0.0999802,0.0977691,0.104753,0.1213224,0.1008657,0.0994167,0.1147366,0.1008713,0.1223933,0.1066055,,,,,,,,,,,,,
1.33,0.1013671,0.1173767,0.0962553,0.0997444,0.1086052,0.1285539,0.0956423,0.0932479,0.1107823,0.1055165,0.1040096,0.0967035,,,,,,,,,,,,,
1.34,0.1091814,0.1260862,0.0951961,0.0974982,0.1181871,0.1273653,0.1138636,0.1055657,0.1074494,0.1026317,0.105724,0.09483,,,,,,,,,,,,,
1.35,0.1126619,0.1288356,0.0994171,0.1014557,0.1092487,0.1349376,0.0928126,0.0901558,0.1082348,0.0985225,0.1009231,0.1063828,,,,,,,,,,,,,
1.36,0.1233415,0.1166802,0.0878951,0.1014288,0.1143605,0.1298577,0.1053517,0.0898625,0.1125078,0.102504,0.0943114,0.0976739,,,,,,,,,,,,,
1.37,0.1197717,0.12147,0.0913673,0.0940631,0.1106702,0.1366341,0.0974308,0.0904491,0.1113787,0.0923247,0.1031942,0.0888169,,,,,,,,,,,,,
1.38,0.1145578,0.1184147,0.0964073,0.0875913,0.1066519,0.1312715,0.1037285,0.0895134,0.1154429,0.0999564,0.0855518,0.096272,,,,,,,,,,,,,
1.39,0.1151055,0.1127428,0.0853644,0.0956471,0.1121274,0.1439355,0.0928403,0.0828261,0.1102802,0.0964254,0.0978687,0.1128374,,,,,,,,,,,,,
1.4,0.1132357,0.1112675,0.0892795,0.1028132,0.1166971,0.1437027,0.0893555,0.0829873,0.1037343,0.0877461,0.0959496,0.1058232,,,,,,,,,,,,,
1.41,0.1127053,0.1216343,0.0964572,0.0887981,0.1005408,0.1393922,0.0922749,0.0900671,0.1120313,0.1060025,0.1007112,0.0916238,,,,,,,,,,,,,
1.42,0.1083942,0.1197115,0.0940215,0.095663,0.1176525,0.1430009,0.0966939,0.0842419,0.1064036,0.0865924,0.1101126,0.08751,,,,,,,,,,,,,
1.43,0.1165706,0.1192899,0.0964998,0.0991561,0.1090335,0.1419727,0.0958444,0.1004377,0.0977353,0.0814338,0.1120484,0.0965688,,,,,,,,,,,,,
1.44,0.1153554,0.1236678,0.1030736,0.0978039,0.1121311,0.1207554,0.0976252,0.0915135,0.1104319,0.0949691,0.1003339,0.1005954,,,,,,,,,,,,,
1.45,0.0994065,0.1127636,0.1036714,0.0987612,0.1083715,0.1253256,0.0957136,0.0936833,0.1069616,0.1082678,0.105014,0.0938309,,,,,,,,,,,,,
1.46,0.1026476,0.1184133,0.1012085,0.0943125,0.1164585,0.1263286,0.1063916,0.0962507,0.1222717,0.1060737,0.1033119,0.0948355,,,,,,,,,,,,,
1.47,0.1029138,0.1189303,0.1060564,0.1025683,0.1035592,0.1341323,0.1035583,0.0795484,0.1195071,0.1081378,0.1095052,0.0924431,,,,,,,,,,,,,
