name,score
 G430-2897,-8.3
 G430-2899,-8.3
 G430-2916,-8.3
 G430-2934,-8.3
 G430-3097,-8.3
 G430-3121,-8.3
 G639-1269,-8.3
 G639-1299,-8.3
 G639-1308,-8.3
 G639-1319,-8.3
 G639-1323,-8.3
 G639-1410,-8.3
 G639-1654,-8.3
 G639-1713,-8.3
 G639-1790,-8.3
 G639-2001,-8.3
 G639-2032,-8.3
 G639-2036,-8.3
 G639-2041,-8.3
 G639-2054,-8.3
 G639-2103,-8.3
 G639-2113,-8.3
 G639-3141,-8.3
 G717-1957,-8.3
 G784-0721,-8.3
 G791-0886,-8.3
 G791-0980,-8.3
 G791-1371,-8.3
 G791-1451,-8.3
 G791-1510,-8.3
 G791-1515,-8.3
 G792-1952,-8.3
 G792-1956,-8.3
 G792-1960,-8.3
 G792-1997,-8.3
 G792-2000,-8.3
 G792-2045,-8.3
 G792-2136,-8.3
 G792-2198,-8.3
 G868-0155,-8.3
 G868-0345,-8.3
 G907-0082,-8.3
 G907-0199,-8.3
 G907-0308,-8.3
 G907-0444,-8.3
 G907-0521,-8.3
 G907-0529,-8.3
 G907-0565,-8.3
 G907-0615,-8.3
 G907-0639,-8.3
 G907-0675,-8.3
 G907-0766,-8.3
 G907-0912,-8.3
 G907-1256,-8.3
 G909-0245,-8.3
 J031-1330,-8.3
 J031-2171,-8.3
 J097-0268,-8.3
 J097-0295,-8.3
 J097-0312,-8.3
 J097-0345,-8.3
 J097-0375,-8.3
 J098-0616,-8.3
 J098-1418,-8.3
 L228-0915,-8.3
 L249-1142,-8.3
 L249-1591,-8.3
 L249-1678,-8.3
 L249-1683,-8.3
 L249-1686,-8.3
 L249-1697,-8.3
 L249-1751,-8.3
 L249-1755,-8.3
 L251-0053,-8.3
 L251-0152,-8.3
 L251-0287,-8.3
 L251-0331,-8.3
 L251-1077,-8.3
 L251-1222,-8.3
 L251-1223,-8.3
 L287-1308,-8.3
 L306-0013,-8.3
 L306-0468,-8.3
 L306-0536,-8.3
 L306-0929,-8.3
 L306-1859,-8.3
 L309-1220,-8.3
 L310-3325,-8.3
 L325-0239,-8.3
 L325-0245,-8.3
 L325-0385,-8.3
 L325-0393,-8.3
 L325-0395,-8.3
 L325-0479,-8.3
 L325-0491,-8.3
 L325-0539,-8.3
 L325-0688,-8.3
 L325-0693,-8.3
 L325-0695,-8.3
 L326-0093,-8.3
 L326-0707,-8.3
 L413-0245,-8.3
 L413-0456,-8.3
 L483-0569,-8.3
 L483-0665,-8.3
 L500-1220,-8.3
 L505-2510,-8.3
 L565-0634,-8.3
 L566-0462,-8.3
 L567-0048,-8.3
 L632-1240,-8.3
 L678-0086,-8.3
 L678-0139,-8.3
 L678-0192,-8.3
 L678-0281,-8.3
 L678-0285,-8.3
 L678-0401,-8.3
 L705-1252,-8.3
 L705-1254,-8.3
 L705-1344,-8.3
 L705-1521,-8.3
 L707-0075,-8.3
 L707-0086,-8.3
 L707-1017,-8.3
 L707-2019,-8.3
 L711-0242,-8.3
 L711-0305,-8.3
 L711-0401,-8.3
 L711-0846,-8.3
 L711-0957,-8.3
 L740-0516,-8.3
 L865-1986,-8.3
 L865-2826,-8.3
 L894-0112,-8.3
 L900-0332,-8.3
 L900-0670,-8.3
 M116-1178,-8.3
 M116-1253,-8.3
 M116-1846,-8.3
 M116-2533,-8.3
 M116-2582,-8.3
 M136-0153,-8.3
 M136-0266,-8.3
 M136-0271,-8.3
 M136-0288,-8.3
 M136-0542,-8.3
 M136-0553,-8.3
 M136-0554,-8.3
 M136-0564,-8.3
 M136-0583,-8.3
 M136-0620,-8.3
 M136-0664,-8.3
 M136-0706,-8.3
 M136-0763,-8.3
 M136-0783,-8.3
 M617-1116,-8.3
 M617-1246,-8.3
 M667-1035,-8.3
 M778-0188,-8.3
 M778-0203,-8.3
 M778-0215,-8.3
 M955-0836,-8.3
 P271-0102,-8.3
 P271-0337,-8.3
 P271-0564,-8.3
 P321-0068,-8.3
 P321-0338,-8.3
 P321-0343,-8.3
 P321-0345,-8.3
 P321-0353,-8.3
 P510-2056,-8.3
 P658-0852,-8.3
 T387-0918,-8.3
 T403-2689,-8.3
 Z250-1100,-8.3
 Z250-1305,-8.3
 Z250-1310,-8.3
 Z250-2569,-8.3
 Z250-2580,-8.3
 Z250-2584,-8.3
 Z250-2602,-8.3
 C200-9594,-8.2
 C201-0735,-8.2
 C201-0757,-8.2
 C201-0762,-8.2
 C201-0774,-8.2
 C201-0780,-8.2
 C201-0784,-8.2
 C798-1304,-8.2
 D289-0116,-8.2
 D305-0479,-8.2
 D305-0485,-8.2
 D305-0497,-8.2
 D305-0912,-8.2
 D305-0925,-8.2
 D305-0933,-8.2
 D356-2636,-8.2
 D356-2678,-8.2
 D356-2692,-8.2
 D637-0052,-8.2
 E223-0884,-8.2
 E856-2903,-8.2
 E856-2938,-8.2
 E856-2973,-8.2
 E856-2994,-8.2
 E856-3050,-8.2
 E856-3053,-8.2
 E856-3054,-8.2
 E856-3083,-8.2
 E856-3095,-8.2
 E856-3119,-8.2
 F035-0008,-8.2
 F035-0269,-8.2
 F057-0242,-8.2
 F184-1726,-8.2
 F257-0423,-8.2
 F305-1561,-8.2
 F305-1572,-8.2
 F305-1614,-8.2
 F305-1615,-8.2
 F345-1201,-8.2
 F362-0096,-8.2
 F362-0118,-8.2
 F362-0581,-8.2
 F362-0683,-8.2
 F426-0036,-8.2
 F426-0081,-8.2
 F426-0089,-8.2
 F426-0093,-8.2
 F426-0136,-8.2
 F426-0147,-8.2
 F426-0160,-8.2
 F426-0171,-8.2
 F426-0186,-8.2
 F426-0197,-8.2
 F426-0237,-8.2
 F426-0247,-8.2
 F426-0266,-8.2
 F426-0280,-8.2
 F426-0328,-8.2
 F426-0418,-8.2
 F426-0436,-8.2
 F426-0458,-8.2
 F448-0055,-8.2
 F448-0089,-8.2
 F448-0122,-8.2
 F448-0124,-8.2
 F448-0533,-8.2
 F448-0564,-8.2
 F448-0957,-8.2
 F533-0237,-8.2
 F632-0585,-8.2
 F632-1522,-8.2
 F633-0035,-8.2
 F633-0111,-8.2
 F633-0148,-8.2
 F633-0282,-8.2
 F633-0429,-8.2
 F633-0434,-8.2
 F633-0577,-8.2
 F633-0978,-8.2
 F681-0038,-8.2
 F681-0087,-8.2
 F681-0121,-8.2
 F681-0594,-8.2
 F681-0814,-8.2
 F699-0399,-8.2
 F699-0439,-8.2
 F699-0603,-8.2
 F699-0888,-8.2
 F699-0967,-8.2
 F699-1170,-8.2
 F699-1212,-8.2
 F699-1233,-8.2
 F699-1248,-8.2
 F708-0400,-8.2
 F708-0429,-8.2
 F708-0557,-8.2
 F710-0052,-8.2
 F710-0701,-8.2
 F720-0358,-8.2
 F720-0385,-8.2
 F720-0395,-8.2
 F720-0451,-8.2
 F720-0483,-8.2
 F720-0486,-8.2
 F720-0602,-8.2
 F720-0642,-8.2
 F720-0644,-8.2
 F720-0779,-8.2
 F720-0793,-8.2
 F720-0815,-8.2
 F720-0831,-8.2
 F726-0358,-8.2
 F726-0386,-8.2
 F726-0399,-8.2
 F726-0402,-8.2
 F726-0709,-8.2
 F726-0977,-8.2
 F726-0983,-8.2
 F817-0151,-8.2
 F817-1630,-8.2
 F817-1634,-8.2
 F817-1679,-8.2
 F817-1714,-8.2
 F817-1753,-8.2
 F820-2013,-8.2
 F820-2038,-8.2
 F820-2108,-8.2
 F825-1589,-8.2
 F828-1180,-8.2
 F828-1209,-8.2
 F828-1225,-8.2
 F828-1234,-8.2
 F828-1246,-8.2
 F828-1252,-8.2
 F828-1333,-8.2
 F832-0767,-8.2
 F869-0024,-8.2
 F869-0082,-8.2
 F891-1435,-8.2
 F894-0041,-8.2
 F894-2035,-8.2
 F899-0059,-8.2
 F899-0102,-8.2
 F899-1712,-8.2
 F899-1727,-8.2
 G269-0086,-8.2
 G269-0190,-8.2
 G282-6835,-8.2
 G282-7101,-8.2
 G282-7196,-8.2
 G373-4032,-8.2
 G373-4065,-8.2
 G373-4075,-8.2
 G430-2781,-8.2
 G430-2784,-8.2
 G430-2796,-8.2
 G430-2815,-8.2
 G430-2880,-8.2
 G430-2885,-8.2
 G430-2896,-8.2
 G430-3100,-8.2
 G430-3108,-8.2
 G639-1190,-8.2
 G639-1225,-8.2
 G639-1288,-8.2
 G639-1360,-8.2
 G639-1528,-8.2
 G639-2042,-8.2
 G639-2059,-8.2
 G639-2074,-8.2
 G639-2135,-8.2
 G639-2447,-8.2
 G639-2463,-8.2
 G640-0285,-8.2
 G791-1247,-8.2
 G791-1269,-8.2
 G791-1307,-8.2
 G791-1377,-8.2
 G792-1937,-8.2
 G792-1946,-8.2
 G792-1968,-8.2
 G792-1996,-8.2
 G792-2030,-8.2
 G792-2036,-8.2
 G792-2077,-8.2
 G792-2194,-8.2
 G868-0630,-8.2
 G868-1105,-8.2
 G883-0659,-8.2
 G907-0287,-8.2
 G907-0382,-8.2
 G907-0432,-8.2
 G907-0474,-8.2
 G907-0535,-8.2
 G907-0540,-8.2
 G907-0614,-8.2
 G907-0618,-8.2
 G907-0797,-8.2
 G907-0814,-8.2
 G907-0870,-8.2
 G907-1147,-8.2
 G907-1263,-8.2
 G907-1432,-8.2
 J009-0475,-8.2
 J009-1717,-8.2
 J031-2015,-8.2
 J031-2287,-8.2
 J097-0253,-8.2
 J097-0269,-8.2
 J097-0281,-8.2
 J097-0283,-8.2
 J097-0319,-8.2
 J097-0331,-8.2
 J098-0136,-8.2
 L075-0195,-8.2
 L075-0572,-8.2
 L249-1070,-8.2
 L249-1107,-8.2
 L249-1117,-8.2
 L249-1119,-8.2
 L249-1162,-8.2
 L249-1168,-8.2
 L249-1252,-8.2
 L249-1290,-8.2
 L249-1557,-8.2
 L249-1570,-8.2
 L249-1636,-8.2
 L249-1659,-8.2
 L249-1665,-8.2
 L249-1705,-8.2
 L249-1707,-8.2
 L249-1717,-8.2
 L249-1756,-8.2
 L251-0037,-8.2
 L251-0169,-8.2
 L251-0229,-8.2
 L251-0235,-8.2
 L251-1009,-8.2
 L251-1013,-8.2
 L251-1074,-8.2
 L251-1131,-8.2
 L251-1157,-8.2
 L251-1195,-8.2
 L251-1206,-8.2
 L251-1225,-8.2
 L279-0100,-8.2
 L279-0122,-8.2
 L306-0142,-8.2
 L306-0574,-8.2
 L306-1021,-8.2
 L306-1201,-8.2
 L306-1522,-8.2
